route_id,direction_id,direction
5558,0,
5558,1,
5559,0,
5559,1,
5560,0,
5560,1,
5561,0,
5561,1,
5562,0,
5562,1,
5563,0,
5563,1,
5564,0,
5564,1,
5565,0,
5565,1,
5566,0,
5566,1,
5567,0,
5567,1,
5568,0,
5568,1,
5569,0,
5569,1,
5570,0,
5570,1,
5571,0,
5571,1,
5572,0,
5572,1,
5573,0,
5573,1,
5574,0,
5574,1,
5575,0,
5575,1,
5576,0,
5576,1,
5577,0,
5577,1,
5578,0,
5578,1,
5579,0,
5579,1,
5580,0,
5580,1,
5581,0,
5581,1,
5582,0,
5582,1,
5583,0,
5583,1,
5584,0,
5584,1,
5585,0,
5585,1,
5586,0,
5586,1,
