stop_id,at_street,corner_placement,heading,location_type,on_street,parent_station,stop_code,stop_desc,stop_lat,stop_lon,stop_name,stop_position,stop_timezone,stop_url,wheelchair_boarding,zone_id
773,Kinney,SW,80,0,Lamar,,773,002201 Lamar & Kinney,30.247279,-97.774278,2201 Lamar/Kinney,N,,https://www.capmetro.org/stopdetail/index.php?stop=773,0,
776,Collier,SE,35,0,Lamar,,776,001417 Lamar & Collier,30.252289,-97.763972,1458 Lamar/Collier,M,,https://www.capmetro.org/stopdetail/index.php?stop=776,0,
777,Lamar Square,SE,29,0,Lamar,,777,001303 Lamar & Lamar Square,30.254034,-97.762592,Lamar Square Station (NB),N,,https://www.capmetro.org/stopdetail/index.php?stop=777,0,
781,Butler,SE,20,0,Lamar,,781,000401 Lamar & Butler,30.261634,-97.758053,Barton Springs Station (NB),N,,https://www.capmetro.org/stopdetail/index.php?stop=781,0,
806,31St,NE,26,0,Lamar,,806,003105 Lamar & 31St,30.30053,-97.745954,3105 Lamar/31st,M,,https://www.capmetro.org/stopdetail/index.php?stop=806,0,
807,34Th,SE,27,0,Lamar,,807,003317 Lamar & 34Th,30.302553,-97.744683,3317 Lamar/34th,N,,https://www.capmetro.org/stopdetail/index.php?stop=807,0,
809,Medical,NE,298,0,38Th,,809,001010 38Th & Medical,30.305686,-97.743879,38th/Medical Pkwy,N,,https://www.capmetro.org/stopdetail/index.php?stop=809,0,
811,41St,SE,2,0,Medical,,811,004000 Medical & 41St,30.309731,-97.742576,Medical Pkwy/41st,N,,https://www.capmetro.org/stopdetail/index.php?stop=811,0,
813,44Th,NE,9,0,Medical,,813,004400 Medical & 44Th,30.314054,-97.741916,Medical Pkwy/44th,F,,https://www.capmetro.org/stopdetail/index.php?stop=813,0,
814,45Th,NE,28,0,Burnet,,814,004500 Burnet & 45Th,30.316,-97.741026,Burnet/45th,M,,https://www.capmetro.org/stopdetail/index.php?stop=814,0,
815,49Th,SE,357,0,Burnet,,815,004800 Burnet & 49Th,30.320494,-97.739145,Burnet/49th,N,,https://www.capmetro.org/stopdetail/index.php?stop=815,0,
816,Hancock,SE,357,0,Burnet,,816,005011 Burnet & Hancock,30.321766,-97.739242,5011 Burnet/Hancock,N,,https://www.capmetro.org/stopdetail/index.php?stop=816,0,
817,North,SE,356,0,Burnet,,817,005229 Burnet & North,30.326284,-97.739566,North Loop Station (NB),M,,https://www.capmetro.org/stopdetail/index.php?stop=817,0,
819,Houston,SE,357,0,Burnet,,819,005411 Burnet & Houston,30.328766,-97.739742,Burnet/Houston,N,,https://www.capmetro.org/stopdetail/index.php?stop=819,0,
820,Adams,NE,356,0,Burnet,,820,005500 Burnet & Adams,30.330446,-97.739876,Burnet/Adams,F,,https://www.capmetro.org/stopdetail/index.php?stop=820,0,
821,Northland,SE,356,0,Burnet,,821,005621 Burnet & Northland,30.332384,-97.739997,5621 Burnet/Northland,N,,https://www.capmetro.org/stopdetail/index.php?stop=821,0,
822,Koenig,SE,4,0,Burnet,,822,005829 Burnet & Koenig,30.3342,-97.7398,Allandale Station (NB),N,,https://www.capmetro.org/stopdetail/index.php?stop=822,0,
824,Whitehorse,NE,7,0,Burnet,,824,006425 Burnet & Whitehorse,30.33997,-97.7389,6425 Burnet/Whitehorse,M,,https://www.capmetro.org/stopdetail/index.php?stop=824,0,
826,Justin,SE,24,0,Burnet,,826,006827 Burnet & Justin,30.345183,-97.73755,Justin Station (NB),N,,https://www.capmetro.org/stopdetail/index.php?stop=826,0,
827,Greenlawn,NE,30,0,Burnet,,827,007301 Burnet & Greenlawn,30.34851,-97.73545,Burnet/Greenlawn Pkwy,M,,https://www.capmetro.org/stopdetail/index.php?stop=827,0,
828,Richcreek,SE,25,0,Burnet,,828,007439 Burnet & Richcreek,30.3504,-97.73424,7439 Burnet/Richcreek,N,,https://www.capmetro.org/stopdetail/index.php?stop=828,0,
829,st Joseph,NE,28,0,Burnet,,829,007719 Burnet & st Joseph,30.353858,-97.732081,Northcross Station (NB),M,,https://www.capmetro.org/stopdetail/index.php?stop=829,0,
830,Northcross Mall,SE,100,0,Burnet,,830,007711 Burnet & Northcross Mall,30.355782,-97.734268,Northcross Mall,M,,https://www.capmetro.org/stopdetail/index.php?stop=830,0,
832,Community,SW,155,0,Hogan,,832,005900 Hogan & Community,30.236954,-97.702062,Hogan/Community,N,,https://www.capmetro.org/stopdetail/index.php?stop=832,0,
834,Larch,NW,208,0,Montopolis,,834,001214 Montopolis & Larch,30.232434,-97.698769,1214 Montopolis/Larch,N,,https://www.capmetro.org/stopdetail/index.php?stop=834,0,
