service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20220403,20221001
2,0,0,0,0,0,1,0,20220403,20221001
3,0,0,0,0,0,0,1,20220403,20221001
1001,0,0,0,0,0,0,0,20220403,20221001
901,0,0,0,0,0,0,0,20220403,20221001
201,0,0,0,0,0,0,0,20220403,20221001
101,0,0,0,0,0,0,0,20220403,20221001
401,0,0,0,0,0,0,0,20220403,20221001
301,0,0,0,0,0,0,0,20220403,20221001
