fare_id,price,currency_type,payment_method,transfers,transfer_duration
1,6.75,USD,1,,
2,3.80,USD,1,,
3,9.00,USD,1,,
4,3.80,USD,1,,
5,7.75,USD,1,,
6,6.25,USD,1,,
7,6.00,USD,1,,
8,5.80,USD,1,,
9,5.60,USD,1,,
10,5.50,USD,1,,
11,5.40,USD,1,,
12,5.25,USD,1,,
13,5.15,USD,1,,
14,5.15,USD,1,,
15,5.15,USD,1,,
16,5.50,USD,1,,
17,5.70,USD,1,,
18,6.05,USD,1,,
19,6.30,USD,1,,
20,6.65,USD,1,,
21,7.00,USD,1,,
22,7.55,USD,1,,
23,7.95,USD,1,,
24,6.65,USD,1,,
25,7.95,USD,1,,
26,8.45,USD,1,,
27,7.80,USD,1,,
28,3.80,USD,1,,
29,7.60,USD,1,,
30,7.10,USD,1,,
31,6.95,USD,1,,
32,6.50,USD,1,,
33,6.05,USD,1,,
34,5.45,USD,1,,
35,5.05,USD,1,,
36,4.60,USD,1,,
37,4.60,USD,1,,
38,4.60,USD,1,,
39,4.60,USD,1,,
40,4.40,USD,1,,
41,4.30,USD,1,,
42,4.00,USD,1,,
43,3.80,USD,1,,
44,3.80,USD,1,,
45,12.80,USD,1,,
46,8.45,USD,1,,
47,9.30,USD,1,,
48,9.60,USD,1,,
49,8.60,USD,1,,
50,9.35,USD,1,,
51,3.80,USD,1,,
52,6.75,USD,1,,
53,9.00,USD,1,,
54,3.80,USD,1,,
55,8.05,USD,1,,
56,6.55,USD,1,,
57,6.30,USD,1,,
58,6.10,USD,1,,
59,5.90,USD,1,,
60,5.80,USD,1,,
61,5.70,USD,1,,
62,5.55,USD,1,,
63,5.45,USD,1,,
64,5.45,USD,1,,
65,5.45,USD,1,,
66,5.80,USD,1,,
67,6.00,USD,1,,
68,6.35,USD,1,,
69,6.60,USD,1,,
70,6.95,USD,1,,
71,7.30,USD,1,,
72,7.85,USD,1,,
73,8.25,USD,1,,
74,6.95,USD,1,,
75,8.25,USD,1,,
76,8.75,USD,1,,
77,8.10,USD,1,,
78,3.80,USD,1,,
79,7.90,USD,1,,
80,7.40,USD,1,,
81,7.25,USD,1,,
82,6.80,USD,1,,
83,6.35,USD,1,,
84,5.75,USD,1,,
85,5.35,USD,1,,
86,5.05,USD,1,,
87,5.05,USD,1,,
88,5.05,USD,1,,
89,5.05,USD,1,,
90,4.85,USD,1,,
91,4.75,USD,1,,
92,4.45,USD,1,,
93,4.30,USD,1,,
94,3.80,USD,1,,
95,13.10,USD,1,,
96,8.75,USD,1,,
97,9.60,USD,1,,
98,9.90,USD,1,,
99,8.90,USD,1,,
100,9.65,USD,1,,
101,9.00,USD,1,,
102,9.00,USD,1,,
103,6.75,USD,1,,
104,5.20,USD,1,,
105,13.50,USD,1,,
106,12.00,USD,1,,
107,11.75,USD,1,,
108,11.55,USD,1,,
109,11.35,USD,1,,
110,11.25,USD,1,,
111,11.15,USD,1,,
112,11.00,USD,1,,
113,10.90,USD,1,,
114,10.90,USD,1,,
115,10.90,USD,1,,
116,11.25,USD,1,,
117,11.45,USD,1,,
118,11.80,USD,1,,
119,12.05,USD,1,,
120,12.40,USD,1,,
121,12.75,USD,1,,
122,13.30,USD,1,,
123,13.70,USD,1,,
124,12.40,USD,1,,
125,13.70,USD,1,,
126,14.15,USD,1,,
127,13.55,USD,1,,
128,9.40,USD,1,,
129,13.35,USD,1,,
130,12.85,USD,1,,
131,12.70,USD,1,,
132,12.25,USD,1,,
133,11.80,USD,1,,
134,11.15,USD,1,,
135,10.80,USD,1,,
136,10.55,USD,1,,
137,10.55,USD,1,,
138,10.55,USD,1,,
139,10.55,USD,1,,
140,10.45,USD,1,,
141,10.35,USD,1,,
142,10.05,USD,1,,
143,9.90,USD,1,,
144,9.65,USD,1,,
145,18.55,USD,1,,
146,14.20,USD,1,,
147,15.05,USD,1,,
148,15.35,USD,1,,
149,14.35,USD,1,,
150,15.10,USD,1,,
151,3.80,USD,1,,
152,3.80,USD,1,,
153,5.20,USD,1,,
154,6.75,USD,1,,
155,8.45,USD,1,,
156,6.95,USD,1,,
157,6.70,USD,1,,
158,6.50,USD,1,,
159,6.25,USD,1,,
160,6.20,USD,1,,
161,6.10,USD,1,,
162,5.95,USD,1,,
163,5.85,USD,1,,
164,5.85,USD,1,,
165,5.85,USD,1,,
166,6.15,USD,1,,
167,6.40,USD,1,,
168,6.75,USD,1,,
169,7.00,USD,1,,
170,7.35,USD,1,,
171,7.70,USD,1,,
172,8.25,USD,1,,
173,8.65,USD,1,,
174,7.35,USD,1,,
175,8.65,USD,1,,
176,9.10,USD,1,,
177,8.50,USD,1,,
178,4.40,USD,1,,
179,8.30,USD,1,,
180,7.80,USD,1,,
181,7.60,USD,1,,
182,7.20,USD,1,,
183,6.75,USD,1,,
184,6.10,USD,1,,
185,5.75,USD,1,,
186,5.50,USD,1,,
187,5.50,USD,1,,
188,5.50,USD,1,,
189,5.50,USD,1,,
190,5.40,USD,1,,
191,5.35,USD,1,,
192,5.05,USD,1,,
193,4.90,USD,1,,
194,4.65,USD,1,,
195,13.45,USD,1,,
196,9.15,USD,1,,
197,10.00,USD,1,,
198,10.30,USD,1,,
199,9.30,USD,1,,
200,10.05,USD,1,,
201,7.75,USD,1,,
202,8.05,USD,1,,
203,13.50,USD,1,,
204,8.45,USD,1,,
205,6.75,USD,1,,
206,6.05,USD,1,,
207,5.80,USD,1,,
208,5.60,USD,1,,
209,5.40,USD,1,,
210,5.35,USD,1,,
211,5.25,USD,1,,
212,5.10,USD,1,,
213,5.00,USD,1,,
214,5.00,USD,1,,
215,5.00,USD,1,,
216,4.70,USD,1,,
217,4.45,USD,1,,
218,4.15,USD,1,,
219,2.30,USD,1,,
220,4.15,USD,1,,
221,4.50,USD,1,,
222,5.10,USD,1,,
223,5.50,USD,1,,
224,2.30,USD,1,,
225,2.30,USD,1,,
226,8.05,USD,1,,
227,7.45,USD,1,,
228,7.55,USD,1,,
229,7.20,USD,1,,
230,6.75,USD,1,,
231,6.55,USD,1,,
232,6.15,USD,1,,
233,5.70,USD,1,,
234,5.10,USD,1,,
235,5.10,USD,1,,
236,7.00,USD,1,,
237,7.00,USD,1,,
238,7.00,USD,1,,
239,7.00,USD,1,,
240,7.10,USD,1,,
241,7.15,USD,1,,
242,7.35,USD,1,,
